flower_id,flower_name,english_name,available_colors,meanings,suitable_occasions,style_tags,bouquet_role,price_level,compatible_flowers,description
F001,Hoa hồng,Rose,đỏ;hồng;trắng;vàng;cam;tím,tình yêu;đam mê;lãng mạn;sắc đẹp,Valentine;kỷ niệm ngày cưới;tỏ tình;sinh nhật;20/10,lãng mạn;cổ điển;sang trọng,hoa chủ đạo,trung bình,Hoa baby;Hoa cẩm tú cầu;Hoa cát tường;Hoa xác pháo,"Loài hoa biểu tượng của tình yêu, có hàng trăm giống với màu sắc và hương thơm đa dạng, gần như không thể thiếu trong các bó hoa lãng mạn."
F002,Hoa cúc,Chrysanthemum,vàng;trắng;tím;cam;đỏ,sự trường thọ;lòng hiếu thảo;niềm vui;sự chân thành,lễ Vu Lan;viếng tang;mừng thọ;Tết Trung thu,trang trọng;truyền thống;mộc mạc,hoa chủ đạo,thấp,Hoa cúc họa mi;Hoa lay ơn;Hoa baby,"Loài hoa quen thuộc trong văn hóa Á Đông, tượng trưng cho sự trường tồn và lòng biết ơn, thường dùng trong dịp lễ và cúng viếng."
F003,Hoa lan hồ điệp,Phalaenopsis Orchid,trắng;hồng;tím;vàng;đỏ đốm,sự sang trọng;tình yêu hoàn mỹ;phú quý,khai trương;Tết Nguyên Đán;chúc mừng thăng chức;tân gia,sang trọng;hiện đại;quý phái,hoa chủ đạo,cao,Hoa lan vũ nữ;Hoa ngọc lan;Hoa hồng môn,"Loài lan cánh bướm quý phái, cánh hoa mềm mại bền lâu, thường được cắm thành chậu hoặc giỏ trong các dịp lễ trọng đại."
F004,Hoa ly,Lily,trắng;hồng;vàng;cam;đỏ,sự thuần khiết;kiêu hãnh;quyền quý,khai trương;sinh nhật;chúc mừng;tân gia,sang trọng;rực rỡ;hương thơm nồng,hoa chủ đạo,cao,Hoa hồng;Hoa cát tường;Hoa lay ơn,"Hoa có hương thơm nồng nàn, cánh to xòe rộng, mang vẻ đẹp kiêu sa và thường xuất hiện trong các bó hoa chúc mừng lớn."
F005,Hoa hướng dương,Sunflower,vàng;cam,sự lạc quan;niềm tin;hướng về ánh sáng;trung thành,sinh nhật;động viên tinh thần;tốt nghiệp,tươi sáng;năng động;mộc mạc,hoa chủ đạo,trung bình,Hoa cúc;Hoa đồng tiền;Hoa baby,"Loài hoa luôn hướng về phía mặt trời, biểu tượng cho sự lạc quan và nguồn năng lượng tích cực."
F006,Hoa tulip,Tulip,đỏ;hồng;vàng;tím;trắng;cam,tình yêu hoàn hảo;sự khai mở;danh vọng,Valentine;8/3;tỏ tình;sinh nhật,hiện đại;tối giản;tinh tế,hoa chủ đạo,cao,Hoa baby;Hoa cát tường;Hoa thủy tiên,"Hoa nhập khẩu từ Hà Lan với dáng cúp thanh lịch, được ưa chuộng trong các bó hoa phong cách tối giản hiện đại."
F007,Hoa cẩm chướng,Carnation,đỏ;hồng;trắng;vàng;tím,tình mẫu tử;lòng biết ơn;sự ngưỡng mộ,ngày của Mẹ;20/11;sinh nhật;lễ tốt nghiệp,ngọt ngào;truyền thống;ấm áp,hoa phụ trợ,thấp,Hoa hồng;Hoa baby;Hoa cúc,"Loài hoa cánh xếp gợn sóng bền màu, thường được chọn để tặng mẹ và thầy cô vì mang ý nghĩa biết ơn sâu sắc."
F008,Hoa baby,Baby's Breath,trắng;hồng nhạt,tình yêu trong sáng;sự thuần khiết;niềm vui nhỏ bé,cưới hỏi;tỏ tình;trang trí phối nền,nhẹ nhàng;lãng mạn;vintage,hoa nền - lá,thấp,Hoa hồng;Hoa tulip;Hoa cát tường;Hoa hướng dương,"Chùm hoa li ti mềm mại thường dùng để độn nền, tạo hiệu ứng bồng bềnh lãng mạn cho bó hoa chính."
F009,Hoa đồng tiền,Gerbera,đỏ;cam;vàng;hồng;trắng,sự vui vẻ;may mắn;tài lộc,khai trương;chúc mừng;sinh nhật,tươi sáng;trẻ trung;năng động,hoa chủ đạo,thấp,Hoa hướng dương;Hoa cúc;Hoa baby,"Cánh hoa tròn xoè rực rỡ, tượng trưng cho may mắn và niềm vui, rất phổ biến trong hoa khai trương."
F010,Hoa thược dược,Dahlia,đỏ;hồng;cam;tím;trắng,sự sang trọng;lòng chung thủy;đổi mới,Tết Nguyên Đán;tân gia;chúc mừng,rực rỡ;cổ điển;sang trọng,hoa chủ đạo,trung bình,Hoa mẫu đơn;Hoa hồng;Hoa cúc,"Cánh hoa xếp lớp cầu kỳ, thường nở rộ vào dịp Tết, tượng trưng cho sự sung túc và khởi đầu mới."
F011,Hoa mẫu đơn,Peony,hồng;đỏ;trắng;cam pastel,phú quý;vinh hoa;tình yêu lãng mạn,cưới hỏi;tân gia;chúc mừng thành đạt,sang trọng;lãng mạn;cổ điển,hoa chủ đạo,rất cao,Hoa hồng;Hoa cát tường;Hoa baby,"Được mệnh danh 'vua của các loài hoa', mẫu đơn có cánh xếp tầng bồng bềnh, biểu trưng cho sự giàu sang phú quý."
F012,Hoa sen,Lotus,hồng;trắng;đỏ,sự thanh cao;thuần khiết;giác ngộ,lễ Phật đản;cúng viếng;trang trí tâm linh,thanh tịnh;truyền thống;mộc mạc,hoa chủ đạo,trung bình,Hoa súng;Hoa nhài;Hoa ngọc lan,"Quốc hoa của Việt Nam, mọc lên từ bùn nhưng vẫn giữ vẻ thanh khiết, gắn liền với văn hóa và tâm linh Việt."
F013,Hoa súng,Water Lily,tím;hồng;trắng;xanh nhạt,sự tinh khôi;bình yên;tái sinh,trang trí sân vườn;triển lãm hoa;trang trí hồ nước,thanh bình;tự nhiên;mộc mạc,điểm nhấn,trung bình,Hoa sen;Hoa nhài,"Loài hoa nổi trên mặt nước với sắc thái dịu nhẹ, thường dùng trang trí không gian mang tính thư giãn."
F014,Hoa mai,Apricot Blossom,vàng,sự thịnh vượng;may mắn đầu năm;phú quý,Tết Nguyên Đán,truyền thống;miền Nam;lễ hội,hoa chủ đạo,cao,Hoa cúc;Hoa lan hồ điệp;Hoa đào,"Biểu tượng mùa xuân miền Nam Việt Nam, cánh hoa vàng rực báo hiệu một năm mới an khang thịnh vượng."
F015,Hoa đào,Peach Blossom,hồng;đỏ;trắng,sự may mắn;xua đuổi tà khí;tình yêu đầu xuân,Tết Nguyên Đán,truyền thống;miền Bắc;lễ hội,hoa chủ đạo,cao,Hoa mai;Hoa cúc;Hoa lay ơn,"Biểu tượng mùa xuân miền Bắc Việt Nam, sắc hồng của hoa đào gắn liền với không khí Tết cổ truyền."
F016,Hoa lay ơn,Gladiolus,đỏ;hồng;vàng;trắng;cam,sự chính trực;sức mạnh;danh dự,Tết Nguyên Đán;lễ kỷ niệm;viếng tang,trang trọng;truyền thống;thẳng thắn,hoa nền - lá,thấp,Hoa cúc;Hoa hồng;Hoa đào,"Thân hoa cao thẳng với nhiều bông nhỏ mọc dọc thân, thường dùng để tạo chiều cao cho bó hoa hoặc lẵng hoa lớn."
F017,Hoa violet,Violet,tím;xanh tím;trắng,sự thủy chung;khiêm nhường;tình yêu nhẹ nhàng,tỏ tình;tặng bạn thân;trang trí bàn học,nhẹ nhàng;dịu dàng;nữ tính,hoa phụ trợ,thấp,Hoa baby;Hoa păng xê;Hoa oải hương,"Loài hoa nhỏ nhắn sắc tím dịu dàng, thường được yêu thích bởi sự khiêm nhường và tinh tế."
F018,Hoa oải hương,Lavender,tím,sự tĩnh lặng;chữa lành;thanh khiết,quà tặng thư giãn;trang trí phòng ngủ;handmade,vintage;lãng mạn;hương thơm dịu,hoa nền - lá,trung bình,Hoa hồng;Hoa cúc họa mi;Hoa baby,"Hương thơm dịu nhẹ giúp thư giãn tinh thần, thường xuất hiện trong bó hoa khô hoặc set quà tặng vintage."
F019,Hoa loa kèn,Easter Lily,trắng,sự thuần khiết;hy vọng;tinh khôi,lễ Phục sinh;tháng Tư;trang trí nhà thờ,thanh lịch;tinh khôi;mùa hè,hoa chủ đạo,trung bình,Hoa baby;Hoa cát tường;Hoa hồng trắng,"Cánh hoa trắng muốt hình loa kèn, nở rộ vào tháng Tư, mang vẻ đẹp thanh khiết và tinh tế."
F020,Hoa dạ yến thảo,Petunia,tím;hồng;trắng;đỏ,sự gắn kết;ấm áp gia đình,trang trí ban công;trang trí sân vườn,rực rỡ;mộc mạc;trang trí ngoại thất,điểm nhấn,thấp,Hoa mười giờ;Hoa dừa cạn,"Loài hoa dạng dây rủ mềm mại, được trồng phổ biến để trang trí ban công và sân vườn nhiều màu sắc."
F021,Hoa păng xê,Pansy,tím;vàng;trắng;cam,sự suy tư;tình yêu thầm lặng,trang trí bàn tiệc;quà tặng nhỏ xinh,dễ thương;nhẹ nhàng;mùa xuân,điểm nhấn,thấp,Hoa violet;Hoa thủy tiên,"Cánh hoa có hình dạng như khuôn mặt nhỏ nhắn nhiều màu, thường dùng trang trí tiểu cảnh và bàn tiệc."
F022,Hoa cát tường,Lisianthus,trắng;tím;hồng;vàng nhạt,sự may mắn;lời chúc phúc;niềm vui trọn vẹn,chúc mừng;tân gia;sinh nhật;cưới hỏi,thanh lịch;nhẹ nhàng;hiện đại,hoa chủ đạo,trung bình,Hoa hồng;Hoa baby;Hoa tulip,"Cánh hoa mỏng manh như lụa với dáng nở tương tự hoa hồng, mang ý nghĩa lời chúc phúc tốt đẹp."
F023,Hoa trạng nguyên,Poinsettia,đỏ;trắng;hồng,niềm vui;sự thành đạt;chúc mừng Giáng sinh,Giáng sinh;chúc mừng đỗ đạt;tất niên,rực rỡ;lễ hội;ấm cúng,điểm nhấn,trung bình,Hoa hồng đỏ;Hoa cúc,"Lá bắc đỏ rực đặc trưng cho mùa Giáng sinh, thường được chọn làm quà chúc mừng thành công."
F024,Hoa hải đường,Camellia (Japonica),đỏ;hồng;trắng,sự khiêm nhường;tình yêu bền vững,Tết Nguyên Đán;chúc thọ,truyền thống;quý phái;cổ điển,hoa chủ đạo,trung bình,Hoa mai;Hoa đào,"Hoa nở đúng dịp Tết với sắc đỏ tươi tắn, tượng trưng cho tình yêu bền vững và sự khiêm nhường cao quý."
F025,Hoa trà,Camellia,trắng;hồng;đỏ,sự hoàn hảo;tình yêu trường tồn,trang trí trà đạo;quà tặng tinh tế,thanh lịch;Nhật Bản;tối giản,hoa phụ trợ,trung bình,Hoa hải đường;Hoa ngọc lan,"Cánh hoa dày mịn như nhung, thường gắn với văn hóa trà đạo và vẻ đẹp tinh tế, trầm lắng."
F026,Hoa sim,Rose Myrtle,tím,ký ức;sự mộc mạc;tình yêu quê hương,trang trí quê;quà lưu niệm,mộc mạc;hoài niệm;đồng quê,điểm nhấn,thấp,Hoa mười giờ;Hoa dừa cạn,"Loài hoa dại mọc trên đồi núi Việt Nam, gợi nhớ ký ức tuổi thơ và vẻ đẹp bình dị của làng quê."
F027,Hoa bằng lăng,Crape Myrtle,tím,tuổi học trò;sự chờ đợi;kỷ niệm,mùa hè;lễ tốt nghiệp;kỷ niệm thanh xuân,hoài niệm;học trò;mùa hè,điểm nhấn,thấp,Hoa phượng;Hoa baby,"Sắc tím đặc trưng của mùa hè Việt Nam, thường gắn liền với ký ức tuổi học trò và mùa chia tay."
F028,Hoa phượng,Flame Tree Flower,đỏ;cam đỏ,tuổi học trò;mùa hè;chia ly lưu luyến,lễ tốt nghiệp;mùa hè;kỷ niệm thanh xuân,rực rỡ;hoài niệm;học trò,điểm nhấn,thấp,Hoa bằng lăng;Hoa hướng dương,"Sắc đỏ rực trời hè, biểu tượng quen thuộc gắn với tuổi học trò và mùa chia tay bịn rịn."
F029,Hoa giấy,Bougainvillea,hồng;tím;cam;trắng;đỏ,sự kiên cường;bền bỉ;đam mê,trang trí cổng nhà;trang trí quán cà phê,mộc mạc;rực rỡ;nhiệt đới,điểm nhấn,thấp,Hoa dừa cạn;Hoa mười giờ,"Cánh hoa mỏng như giấy, sức sống mãnh liệt trong nắng gió, thường leo giàn trang trí không gian ngoài trời."
F030,Hoa quỳnh,Queen of the Night,trắng,vẻ đẹp phù du;sự trân quý khoảnh khắc,thưởng hoa đêm;quà tặng người yêu nghệ thuật,huyền bí;thanh tao;hiếm quý,điểm nhấn,cao,Hoa nhài;Hoa ngọc lan,"Chỉ nở rộ và tỏa hương trong một đêm ngắn ngủi, tượng trưng cho vẻ đẹp thoáng qua nhưng đầy ấn tượng."
F031,Hoa nhài,Jasmine,trắng,sự thuần khiết;duyên dáng;tình bạn đẹp,ướp trà;quà tặng nhẹ nhàng;trang trí không gian thư giãn,nhẹ nhàng;thanh tao;hương thơm dịu,hoa nền - lá,thấp,Hoa sen;Hoa ngọc lan;Hoa quỳnh,"Hương thơm ngát dịu dàng, thường dùng ướp trà và tượng trưng cho sự thuần khiết, duyên dáng."
F032,Hoa ngọc lan,Champaca,trắng;vàng nhạt,sự thanh cao;hoài niệm;tình yêu sâu lắng,quà tặng người lớn tuổi;trang trí sân vườn,hoài niệm;thanh nhã;hương thơm nồng,hoa nền - lá,trung bình,Hoa sen;Hoa nhài;Hoa lan hồ điệp,"Hương thơm nồng nàn đặc trưng thường gắn với ký ức phố cổ Hà Nội, mang vẻ đẹp thanh cao hoài niệm."
F033,Hoa mộc lan,Magnolia,trắng;hồng;tím,sự cao quý;tình yêu thuần khiết;kiên cường,chúc mừng;tân gia;trang trí sự kiện mùa xuân,thanh lịch;sang trọng;mùa xuân,hoa chủ đạo,cao,Hoa mẫu đơn;Hoa lan hồ điệp,"Cánh hoa to bản mềm mại, nở rộ đầu xuân, tượng trưng cho vẻ đẹp cao quý và sự kiên cường."
F034,Hoa dâm bụt,Hibiscus,đỏ;hồng;vàng;cam,vẻ đẹp mong manh;sự tận hưởng hiện tại,trang trí sân vườn;trang trí resort,nhiệt đới;mộc mạc;rực rỡ,điểm nhấn,thấp,Hoa giấy;Hoa dừa cạn,"Cánh hoa mỏng manh nở rồi tàn trong ngày, biểu tượng cho vẻ đẹp nhiệt đới tươi mới mỗi sớm mai."
F035,Hoa anh túc,Poppy,đỏ;cam;hồng;trắng,sự tưởng nhớ;giấc mơ;vẻ đẹp mong manh,tưởng niệm;trang trí nghệ thuật,nghệ thuật;hoài niệm;mong manh,điểm nhấn,trung bình,Hoa thủy tiên;Hoa cúc họa mi,"Cánh hoa mỏng như lụa rung rinh trong gió, thường gợi cảm giác hoài niệm và vẻ đẹp mong manh."
F036,Hoa thủy tiên,Daffodil,vàng;trắng,sự khởi đầu mới;may mắn;hy vọng,Tết Nguyên Đán;khai trương;năm mới,tươi mới;thanh lịch;mùa xuân,hoa chủ đạo,cao,Hoa tulip;Hoa lan hồ điệp,"Loài hoa quý được gọt tỉa công phu vào dịp Tết, tượng trưng cho sự khởi đầu suôn sẻ và may mắn."
F037,Hoa mimosa,Mimosa,vàng,sự nhạy cảm;tình yêu dịu dàng;mùa xuân,8/3;tỏ tình;mùa xuân Đà Lạt,lãng mạn;mùa xuân;nhẹ nhàng,hoa nền - lá,trung bình,Hoa tulip;Hoa baby;Hoa cúc họa mi,"Từng chùm hoa vàng li ti bồng bềnh, đặc sản mùa xuân Đà Lạt, biểu tượng cho tình yêu dịu dàng."
F038,Hoa cẩm tú cầu,Hydrangea,xanh;tím;hồng;trắng,lòng biết ơn;sự chân thành;đoàn kết gia đình,cưới hỏi;tân gia;20/11,lãng mạn;vintage;sang trọng,hoa chủ đạo,cao,Hoa hồng;Hoa baby;Hoa cát tường,"Từng chùm hoa nhỏ kết thành bông tròn lớn, đổi màu theo độ pH đất, biểu tượng cho lòng biết ơn chân thành."
F039,Hoa xác pháo,Ixora,đỏ;cam;vàng,niềm vui;sự sum vầy;may mắn,Tết Nguyên Đán;lễ hội;trang trí sân vườn,rực rỡ;lễ hội;truyền thống,điểm nhấn,thấp,Hoa hồng;Hoa cúc,"Chùm hoa nhỏ kết dày đặc rực rỡ, thường trồng làm cảnh và trang trí dịp lễ Tết sum vầy."
F040,Hoa bồ công anh,Dandelion,vàng;trắng,ước mơ;sự tự do;lời ước nguyện,quà tặng ý nghĩa;trang trí concept nghệ thuật,mộng mơ;tự do;nghệ thuật,điểm nhấn,thấp,Hoa cúc họa mi;Hoa lưu ly,"Loài hoa dại gắn với những điều ước, khi hạt bay theo gió tượng trưng cho sự tự do và hy vọng."
F041,Hoa lưu ly,Forget-me-not,xanh;tím nhạt,sự thủy chung;nỗi nhớ;tình yêu vĩnh cửu,tỏ tình;kỷ niệm;chia tay lưu luyến,nhẹ nhàng;hoài niệm;lãng mạn,hoa nền - lá,thấp,Hoa baby;Hoa violet,"Những bông hoa nhỏ xanh biếc mang thông điệp 'đừng quên em', biểu tượng cho tình yêu và nỗi nhớ da diết."
F042,Hoa loa kèn đỏ,Amaryllis,đỏ;hồng;trắng,niềm kiêu hãnh;vẻ đẹp rực rỡ;sự tự tin,Giáng sinh;năm mới;chúc mừng thành công,rực rỡ;sang trọng;lễ hội,hoa chủ đạo,cao,Hoa trạng nguyên;Hoa hồng đỏ,"Bông hoa lớn rực rỡ nở vào mùa lễ hội cuối năm, biểu tượng cho sự tự tin và vẻ đẹp kiêu hãnh."
F043,Hoa hồng môn,Anthurium,đỏ;hồng;trắng,lòng hiếu khách;sự thịnh vượng;tình yêu bền vững,tân gia;khai trương;chúc mừng,hiện đại;nhiệt đới;độc đáo,điểm nhấn,trung bình,Hoa lan hồ điệp;Hoa thiên điểu,"Lá bắc bóng mượt hình trái tim đặc trưng, tượng trưng cho lòng hiếu khách và sự thịnh vượng lâu dài."
F044,Hoa lan vũ nữ,Oncidium Orchid,vàng;tím;trắng;cam,niềm vui;sự tự do;tình bạn,chúc mừng;khai trương;sinh nhật,hiện đại;bay bổng;độc đáo,hoa phụ trợ,trung bình,Hoa lan hồ điệp;Hoa cát tường,"Từng chùm hoa nhỏ rung rinh như đàn bướm múa, mang lại cảm giác vui tươi phóng khoáng cho bó hoa."
F045,Hoa lan hoàng thảo,Dendrobium Orchid,tím;trắng;vàng;hồng,sự tinh tế;vẻ đẹp bền bỉ;trí tuệ,chúc mừng;tân gia;sự kiện trang trọng,thanh lịch;bền bỉ;hiện đại,hoa phụ trợ,trung bình,Hoa lan hồ điệp;Hoa hồng môn,"Cành hoa dài với nhiều bông nhỏ xếp đều, bền màu lâu, thường dùng phối trong lẵng hoa chúc mừng."
F046,Hoa cúc họa mi,Daisy,trắng;vàng nhạt,sự trong sáng;tình yêu ngây thơ;hy vọng,mùa thu Hà Nội;tỏ tình;chụp ảnh kỷ niệm,mộc mạc;trong trẻo;mùa thu,hoa chủ đạo,thấp,Hoa baby;Hoa lưu ly;Hoa oải hương,"Loài hoa báo hiệu mùa thu Hà Nội, cánh trắng mỏng manh quanh nhụy vàng, tượng trưng cho sự trong sáng."
F047,Hoa cúc tần,Wild Chrysanthemum,vàng;trắng,sự bình dị;sức sống bền bỉ,trang trí hàng rào;cảnh quan tự nhiên,mộc mạc;đồng quê;bền bỉ,hoa nền - lá,thấp,Hoa cúc;Hoa dừa cạn,"Loài cúc dại mọc hoang bên đường quê, tuy nhỏ bé nhưng sức sống mãnh liệt quanh năm."
F048,Hoa mào gà,Cockscomb,đỏ;vàng;cam;hồng,sự bền vững;tình cảm nồng nàn;may mắn,cúng lễ;trang trí sân vườn;Tết Trung thu,truyền thống;rực rỡ;mộc mạc,điểm nhấn,thấp,Hoa cúc;Hoa lay ơn,"Hình dáng bông hoa như mào gà trống, sắc đỏ rực rỡ, thường dùng trong các dịp cúng lễ truyền thống."
F049,Hoa mười giờ,Moss Rose (Portulaca),hồng;đỏ;vàng;cam;trắng,ký ức tuổi thơ;niềm vui giản dị,trang trí sân vườn;quà tặng hoài niệm,mộc mạc;hoài niệm;đồng quê,điểm nhấn,thấp,Hoa dừa cạn;Hoa dạ yến thảo,"Nở rộ đúng khoảng mười giờ sáng mỗi ngày, gợi nhớ tuổi thơ ở những khu vườn quê giản dị."
F050,Hoa dừa cạn,Vinca (Periwinkle),hồng;trắng;tím,tình bạn thân thiết;sự bền bỉ;niềm vui nhẹ nhàng,trang trí sân vườn;quà tặng bạn bè,mộc mạc;bền bỉ;nhẹ nhàng,điểm nhấn,thấp,Hoa mười giờ;Hoa dạ yến thảo,"Hoa nhỏ nở quanh năm bất kể thời tiết khắc nghiệt, biểu tượng cho tình bạn bền bỉ theo thời gian."
